abalone,[ˌæbəˈloʊni],n.[动]鲍鱼(软体动物)
salt,[sɔːlt],"n.盐.vt.腌,盐渍.adj. 含盐的"
salt-rich,,a.富含盐的
saltwater,[ˈsɔːltwɔːtər],"a.盐水的, 海产的"
salty,[ˈsɔːlti],"a.咸的,含盐的"
same,[seɪm],a.相同的
sample,[ˈsæmpl],"n.样品,样本,例子.vt.采样,取样 ,尝试"
sanctimonious,[ˌsæŋktɪˈmoʊniəs],"a.伪装虔诚的, 道貌岸然的"
sanction,[ˈsæŋkʃn],"n.支持, 制裁.vt.支持, 鼓励"
sanctuary,[ˈsæŋktʃueri],n.避难所
sand,[sænd],"n.沙,沙子"
sandal,[ˈsændl],"n.凉鞋, 檀香"
sandbar,[ˈsændbɑːr],n.沙洲
sandstone,[ˈsændstoʊn],n.沙岩
sandy,[ˈsændi],"a.沙的, 沙质"
sanitation,[ˌsænɪˈteɪʃn],n.卫生(设施)
Sanskrit,[ˈsænskrɪt],n./.a.梵语(的)
sap,[sæp],n.树液 .vt.耗尽
sapiens,"[ˈsepiəns, -ɛnz]",a.（拉）现代人的
sargeant,,n.萨金特
sash,[sæʃ],"n.腰带,肩带"
sate,[seɪt],"vt.使心满意足,过分地给予"
satellite,[ˈsætəlaɪt],n.人造卫星
satire,[ˈsætaɪər],n.讽刺(文学)
satiric,[sə'tɪrɪk],"a.讽刺的,挖苦的"
satirist,[ˈsætərɪst],n.讽刺作家
satisfaction,[ˌsætɪsˈfækʃn],"n.满意, 满足, 令人满意的事物"
satisfactory,[ˌsætɪsˈfæktəri],a.令人满意的
satisfy,[ˈsætɪsfaɪ],"v.满足,使满意"
saturate,[ˈsætʃəreɪt],"vt.使湿透,饱和"
saturday,['sætədɛi],n.星期六
saturn,[ˈsætɜːrn],n.土星
saucer,[ˈsɔːsər],"n.茶托, 碟子"
savannah,[səˈvænə],n.(南美)大草原
save,[seɪv],"v.解救, 保存.prep.除…之外"
saving,[ˈseɪvɪŋ],"n.存款.a.搭救的, 节约的"
saw,[sɔː],"n.锯 .v.锯,锯开 "
sawyer,[sɔjɚ],"n.锯木匠, 漂流水中的树木"
say,[seɪ],"v.说,表明,假设,.n.发言权"
scale,[skeɪl],"n.规模,等级,比例"
scam,[skæm],n.诡计 .v.诓骗
scan,[skæn],"n./v.扫描,浏览"
scandinavia,"[,skændɪ'nevjə]",n.斯堪的纳维亚（北欧地名）
scandinavian,"[,skændɪ'nevjən]",n.斯堪的纳维亚人[语]
scant,[skænt],"a.缺乏的,不足的.v.节省,减少"
scanty,[ˈskænti],"a.缺乏的,不足的,吝啬的"
scar,[skɑːr],"n.伤痕,疤痕.v.结疤,使留下伤痕"
scarce,[skers],"a.缺乏的,不足的,稀有的"
scarcely,[ˈskersli],"ad.几乎不, 简直没有"
scarcity,[ˈskersəti],"n.缺乏, 不足"
scat,[skæt],vi.迅速走开.n.爵士音乐中无意义的音节的演唱
scatter,[ˈskætər],vt.撒(播).vi.分(消)散
scavenge,[ˈskævɪndʒ],"v.打扫, 在(废物中)寻觅"
scavenger,[ˈskævɪndʒər],"n.清道夫,食腐动物,拾荒者"
scenario,[səˈnærioʊ],"n.剧情说明书,剧本,方案"
scene,[siːn],"n.场面, 情景, 舞台,吵闹"
scenery,[ˈsiːnəri],"n.风景, 景色"
scenic,[ˈsiːnɪk],"a.舞台的, 景色优美的"
scent,[sent],"n.气味,线索,香水.vt.嗅到"
schedule,[ˈskedʒuːl],"n.时刻表,日程.vt.安排,排定"
scheme,[skiːm],"n.安排.v.计划,策划,密谋"
schist,[ʃɪst],n.[地]片岩
scholar,[ˈskɑːlər],n.学者
scholarly,[ˈskɑːlərli],"a.学者气质的, 学者风度的"
school,[skuːl],"n.学校,学院.鱼群v.教育 "
schoolroom,"[ˈskuːlruːm,ˈskuːlrʊm]",n.教室
science,[ˈsaɪəns],"n.科学,理科"
scientific,[ˌsaɪənˈtɪfɪk],"a.科学的,系统的"
scientifically,[ˌsaɪənˈtɪfɪkli],"ad.科学地, 系统地"
scientist,[ˈsaɪəntɪst],n.科学家
scope,[skoʊp],"n.(活动)范围,观看的仪器"
scorch,[skɔːrtʃ],"v.烧焦,枯萎.n.烧焦,枯黄"
score,[skɔːr],"n.得分,二十.v.得(分),刻痕于"
Scotland,[ˈskɑːtlənd],"n.苏格兰(英国的一部分,在不列颠北部)"
Scottish,[ˈskɑːtɪʃ],"n.苏格兰人(的), 苏格兰语（的）"
scour,[ˈskaʊər],"vt.四处搜索,洗涤"
scout,[skaʊt],n.侦察员.vi.侦察
scowl,[skaʊl],"n.愁容, 皱眉.v.皱眉,怒视"
scraggly,[ˈskræɡli],"a.零乱的, 锯齿状的"
scramble,[ˈskræmbl],"n./v.混乱, 攀爬"
scrap,[skræp],n.碎片.vt.废弃
scrape,[skreɪp],"v./n.刮,擦 "
scraping,[ˈskreɪpɪŋ],"v./n.刮,擦"
scratch,[skrætʃ],"v./.n.抓,搔,划(痕)"
scream,[skriːm],"v./n.尖声叫, 尖叫声"
screen,[skriːn],"n.屏幕.vt.掩蔽,放映"
screening,[ˈskriːnɪŋ],"n.放映.v.遮蔽,筛选"
screw,[skruː],"n.螺丝钉,螺旋.v.调节,旋"
script,[skrɪpt],"n.手稿, 手迹,剧本"
scrub,[skrʌb],n.灌木丛.v.用力擦洗
scrubbiness,,"a.褴褛的,灌木丛生的"
scruffy,[ˈskrʌfi],"a.肮脏的,不洁的,破旧的"
scruple,[ˈskruːpl],"n./v.踌躇, 犹豫,顾忌"
scuba,['skjʊbə],"n.水中呼吸器,水肺"
sculptor,[ˈskʌlptər],n.雕刻家
sculptural,[ˈskʌlptʃərəl],a.雕刻的
sculpture,[ˈskʌlptʃər],"n.雕塑,雕刻.v.从事雕刻"
scurry,[ˈskɜːri],"vi.疾行,急赶"
sea,[siː],"n.海,海域"
seabed,['sibɛd],"n.海底, 海床"
seabird,,n.海鸟(如海鸥)
seaboard,[ˈsiːbɔːrd],"n.海岸, 沿海地方 .a.海滨的"
seacoast,"['si,kost]",n.海滨
seafarer,[ˈsiːferər],"n.船员, 航海家"
seafloor,"['si,flor]",n.海底
seafood,[ˈsiːfuːd],"n.海产食品, 海味"
seagoing,[ˈsiːɡoʊɪŋ],"a.适于远航的,出海的"
seal,[siːl],"n.封铅.vt.封, 密封"
seaman,[ˈsiːmən],"n.海员, 水手"
seaport,[ˈsiːpɔːrt],"n.海港, 港口都市"
sear,[sɪr],"a.烤焦的, 枯萎的.v.烤焦,变干枯"
search,[sɜːrtʃ],"v.搜寻,调查 "
seashell,[ˈsiːʃel],n.海贝壳
seashore,[ˈsiːʃɔːr],"n.海岸, 海滨"
season,[ˈsiːzn],"n.季节 ,vt.给…调味,加味于"
seasonal,[ˈsiːzənl],"a.季节的,周期性的"
seat,[siːt],"n.座位.vt.使坐下,容纳"
Seattle,,n.西雅图
seawater,"['si,wɔtɚ; 'si,wɑtɚ]",n.海水
seaway,[ˈsiːweɪ],n.海上航道
seaweed,[ˈsiːwiːd],"n.海草, 海藻"
seclusion,[sɪˈkluːʒn],"n.隔离,隐居"
second,['sɛkənd],"n.秒.a.第二的,次要的"
secondary,[ˈsekənderi],"a.次要的,二级的,中等的n.副手"
secondhand,['sɛkəndhænd],"a./ad  二手的, 间接的"
secrecy,[ˈsiːkrəsi],"n.秘密,保密"
secret,[ˈsiːkrət],n./a.秘密(的)
secretary,[ˈsekrəteri],"n.秘书, 部长"
secrete,[sɪˈkriːt],"vt.隐藏,隐匿 "
secretin,,n.分泌素
sect,[sekt],"n.宗派, 教派"
section,[ˈsekʃn],"n.部分,章节,部门"
sectional,[ˈsekʃənl],"a.可组合的,部分的"
sector,[ˈsektər],"n.部分, 部门"
secular,[ˈsekjələr],"a.长期的,世俗的,不朽的"
secure,[sɪˈkjʊr],"a.安全的,可靠的.vt.得到,保卫"
securely,[sɪˈkjʊrli],"ad.安全地,无疑地"
security,[sɪˈkjʊrəti],"n.安全,保证"
sedentary,[ˈsednteri],"a.久坐的,固定不动的"
sedge,[sedʒ],n.[植]莎草
sediment,[ˈsedɪmənt],n.沉积(物)
sedimentary,[ˌsedɪˈmentri],"a.沉积的,沉淀性的"
sedimentation,[ˌsedɪmenˈteɪʃn],"n.沉淀,沉降"
seduce,[sɪˈduːs],"vt.勾引,引诱,怂恿"
see,[siː],"v.看见,领会,理解"
seed,[siːd],"n.种子,萌芽.v.播种,结实"
seedling,[ˈsiːdlɪŋ],n.幼苗
seedy,[ˈsiːdi],"a.多种子的, 结籽的"
seek,[siːk],"v.寻找,探索"
seeker,[ˈsiːkər],"n.搜索者, 探求者"
seem,[siːm],"vi.好像,似乎"
seemingly,[ˈsiːmɪŋli],ad.表面上地
seep,[siːp],v.渗出
seepage,[ˈsiːpɪdʒ],"n.渗流, 渗出的量"
segment,[ˈseɡmənt],"n.段, 节"
segregate,[ˈseɡrɪɡeɪt],"v.隔离,分离"
seismic,[ˈsaɪzmɪk],a.[地]地震的
seize,[siːz],"v.抓住,夺取"
seldom,[ˈseldəm],"ad.很少, 不常"
select,[sɪˈlekt],"v.选择,挑选.a.精选的n.被挑选者,精萃"
selection,[sɪˈlekʃn],"n.选择,挑选"
selective,[sɪˈlektɪv],"a.选择的, 选择性的"
selenium,[səˈliːniəm],n.[化]硒
self,[self],"n.自己,自我"
self-assertion,[ˌself əˈsɜːrʃn],"n.坚持己见,  自信,自作主张"
self-binding,,a.自我束缚的
self-disciplined,,"a.有自我约束力的,能律己的"
self-educated,[ˌself ˈedʒukeɪtɪd],a.自学的
self-expression,[ˌself ɪkˈspreʃn],"n.自我表现,自我表达"
self-governing,,a.自治的
self-image,[ˌself ˈɪmɪdʒ],n.自身形象
selfish,[ˈselfɪʃ],a.自私的
selfless,[ˈselfləs],a.无私的
self-protection,,a.自卫的
self-sufficiency,,n.自给自足
self-sufficient,[ˌself səˈfɪʃnt],a.自给自足的
self-taught,[ˌself ˈtɔːt],a.自学
sell,[sel],"v.出售,卖"
seller,[ˈselər],n.售货者
semiarid,"[,sɛmɪ'ærɪd]","a.半干旱的,雨量非常少的"
semicircular,[ˌsemiˈsɜːrkjələr],a.半圆的
semimolten,,a.半熔的
seminar,[ˈsemɪnɑːr],"n.研究会,讨论发表会"
semiskilled,"[,sɛmaɪ'skɪld]",a.半熟练的
Semitic,[səˈmɪtɪk],n./a.闪族人(语) (的)
senate,[ˈsenət],n.参议院
senator,[ˈsenətər],"n.参议员,理事"
send,[send],"vt.发送,派遣"
sender,[ˈsendər],"n.寄件人,发送人"
senior,[ˈsiːniər],"a.年长的, 资格较老的.n.大四学生"
sensation,[senˈseɪʃn],"n.感觉,感情,轰动"
sensational,[senˈseɪʃənl],"a.轰动的, 耸人听闻的"
sensationalism,[senˈseɪʃənəlɪzəm],"n.追求轰动效应, 感觉论"
sense,[sens],"v.感觉,意识到"
sensibility,[ˌsensəˈbɪləti],"n.敏感性,识别力,感觉,情感"
sensible,[ˈsensəbl],"a.有感觉的, 明智的"
sensitive,[ˈsensətɪv],"a.敏感的,灵敏的"
sensitively,,"ad.易感知地,  神经过敏地"
sensitivity,[ˌsensəˈtɪvəti],"n.敏感, 灵敏(度)"
sensory,[ˈsensəri],"a.知觉的, 感觉的"
sentence,[ˈsentəns],"n.句子,命题.vt.宣判"
sentimental,[ˌsentɪˈmentl],"a.感伤的,多愁善感的"
sentimentalism,"[,sɛntə'mɛntl,ɪzəm]","n.感情主义, 沉于情感"
sentimentalized,,"v.流于感伤,  变多愁善感"
sepal,[ˈsi:pl],n.萼片
separable,[ˈsepərəbl],"a.可分离的, 可分的"
separate,[ˈseprət],"v.分开,隔开."
separately,[ˈseprətli],"ad.分别地,分离地"
separation,[ˌsepəˈreɪʃn],"n.分离,分开"
september,[sepˈtembər],n.九月(略作Sep)
sequence,[ˈsiːkwəns],"n.次序,顺序"
sequester,[sɪˈkwestər],"vt.使隐退, 扣押, 没收"
sequoia,[sɪˈkwɔɪə],n.[植] 美洲杉
serene,[səˈriːn],a.平静的 .n.宁静
series,[ˈsɪriːz],"n.系列,连续,丛书"
serigraphy,,"n.绢印, 绢网印艺术"
serious,[ˈsɪriəs],"a.严肃的,认真的,严重的"
seriousness,[ˈsɪriəsnəs],"n.严肃, 认真,严重性"
serpentine,[ˈsɜːrpəntiːn],a.蜿蜒的.v.像蛇般行进
serrate,[sə'ret],a.锯齿状的
serum,[ˈsɪrəm],"n.浆液, 血清"
servant,[ˈsɜːrvənt],n.仆人
serve,[sɜːrv],"v.服务,担任 适合,发球"
server,[ˈsɜːrvər],"n.服务器,侍者"
service,[ˈsɜːrvɪs],"n.公共设施,服务.vt.服务"
serviceable,[ˈsɜːrvɪsəbl],"a.有用地,耐用的"
session,[ˈseʃn],"n.会议, 开庭,会期"
set,[set],"n.(一)套.v.放置,设定"
settle,[ˈsetl],"v.解决,定居,安顿 "
settlement,[ˈsetlmənt],"n.解决,协议,居留地"
setup,"['sɛt,ʌp]","n.装备, 安装,计划"
seven,[ˈsevn],"num.七,七个"
seventeenth,[ˌsevnˈtiːnθ],"num.第十七,十七分之一"
seventy,[ˈsevnti],num.  七十
several,[ˈsevrəl],"a.几个,若干"
severe,[sɪˈvɪr],"a.严厉的,剧烈的,严重的,朴素的"
severely,[sɪˈvɪrli],"ad.严格地, 激烈地"
severity,[sɪˈverəti],"n.严肃, 严格,严重"
sew,[soʊ],"v.缝合, 缝纫 "
sewage,[ˈsuːɪdʒ],"n.污水, 污物,下水道"
sewer,[ˈsuːər],"n.排水沟,下水道"
sewerage,[ˈsuːərɪdʒ],"n.排水设备, 污水"
sex,[seks],"n.性别,性"
sexually,[ˈsekʃəli],"ad.性别地,两性之间地"
shade,[ʃeɪd],"n.荫,阴凉处vi.渐变 ,遮蔽"
shade-grown,,a.避光生长的
shade-tolerant,,a.耐阴的
shadow,[ˈʃædoʊ],"n.阴影,影子"
shaft,[ʃæft],"n.柄,杆"
shake,[ʃeɪk],"n./ .v.摇动,颤抖,握手"
Shakespeare,['ʃekspɪr],"n.莎士比亚(1564-1616,英国剧作家,诗人)"
shale,[ʃeɪl],"n.页岩,泥板岩"
shallow,[ˈʃæloʊ],a.浅（薄）的
shaman,"[ˈʃeɪmən,ˈʃɑːmən,ˈʃæmən]","n.萨满教的道士, 僧人或巫师"
shape,[ʃeɪp],"v.塑造,形成.n.形状,形式"
shapeless,[ˈʃeɪpləs],"a.不成形的, 无定形的,样子不好看的"
shaper,,"n.造形者, 塑造者"
share,[ʃer],"v.分享,分担.n.份额"
sharp,[ʃɑːrp],"a.锐利的,明显的,急剧的"
sharper,['ʃɑrpɚ],"n.磨具,(赌博中的)骗子"
sharply,[ˈʃɑːrpli],"ad.锋利地,剧烈地"
shatter,[ˈʃætər],"v.粉碎,破灭 "
she,"[ʃi,ʃiː]",pron.她
shear,[ʃɪr],"v.剪, 剪切"
shed,[ʃed],"vt.脱落,流出.n.棚屋"
sheep,[ʃiːp],"n.羊,绵羊"
sheepskin,[ˈʃiːpskɪn],"n.羊皮(革,纸), 毕业证书"
sheer,[ʃɪr],"a./ad.十足的,陡峭的 "
sheet,[ʃiːt],"n.(一)片,(一)张"
shelf,[ʃelf],"n.架子,搁板"
shell,[ʃel],"n.(贝)壳,外壳.v.剥壳,炮击"
shellfish,[ˈʃelfɪʃ],"n.贝, 甲壳类动物"
shelter,[ˈʃeltər],"n.掩蔽,庇护所.v.掩蔽,躲避"
shelve,[ʃelv],v.搁置
shepherd,[ˈʃepərd],"n.牧羊人.vt.带领,引导"
shield,[ʃiːld],"v.防护,遮蔽"
shift,[ʃɪft],"v./n.转移,转变,转换,轮班"
shin,[ʃɪn],n.胫骨 
shine,[ʃaɪn],"v.照耀,发光.n.光泽"
shiny,[ˈʃaɪni],"a.发光的,磨光的"
ship,[ʃɪp],"n.船.v.航运,载运"
shipbuilding,[ˈʃɪpbɪldɪŋ],n.造船
shipment,[ˈʃɪpmənt],"n.装船, 出货"
shipwreck,[ˈʃɪprek],"n.船只失事,海难.vt.使失事"
shipwright,"['ʃɪp,raɪt]",n.造船者
shirt,[ʃɜːrt],n.衬衫
shock,[ʃɑːk],"n./v.震动,震惊"
shoe,[ʃuː],n.鞋
shoemaker,[ˈʃuːmeɪkər],n.鞋匠
shoemaking,,n.制鞋
shoeshine,,"n.鞋油, 擦皮鞋"
shoot,[ʃuːt],"v.发射, 开枪"
shop,[ʃɑːp],n.商店.vi.买东西
shopper,[ˈʃɑːpər],n.购物者
shore,[ʃɔːr],"n.岸, 海滨 .vt.(up)支撑,支持"
shorebird,,"n.岸禽类鸟,沙禽,滨鸟"
shoreline,[ˈʃɔːrlaɪn],n.海岸线
short,[ʃɔːrt],"a.短的,矮的,不足的n.缺乏"
shortage,[ˈʃɔːrtɪdʒ],"n.不足, 缺乏"
shortcut,[ˈʃɔːrtkʌt],n.捷径
shorten,[ˈʃɔːrtn],"v.缩短, (使)变短"
short-lived,"[ˌʃɔːrt ˈlɪvd,ˌʃɔːrt ˈlaɪvd]","a.短命的, 短暂的"
shortly,[ˈʃɔːrtli],"ad.立刻, 马上,简短地"
shortness,[ˈʃɔːrtnəs],"n.短缺,短小"
short-range,[ˌʃɔːrt ˈreɪndʒ],"a.短距离的,短期的"
short-term,[ˌʃɔːrt ˈtɜːrm],a.短期的
shortwave,"['ʃɔrt,wev]",n.短波 
Shoshone,[ʃoʊˈʃoʊni],"n.美国休休尼族印第安人,休休尼语"
should,"[ʃəd,ʃʊd]","v./aux.应该,将要,可能,就"
shoulder,[ˈʃoʊldər],"n.肩(部).vt.肩负, 承当"
shovel,[ˈʃʌvl],"n.铲,挖斗机"
show,[ʃoʊ],"v.证明,显现,说明.n.表演"
shower,[ˈʃaʊər],"n.阵雨, 淋浴"
showman,[ˈʃoʊmən],"n.戏剧制作人, 玩杂耍的"
shrill,[ʃrɪl],"a.尖声的,刺耳的.v.尖声叫出"
shrimp,[ʃrɪmp],"n.小虾 
v.捕虾"
shrine,[ʃraɪn],"n.圣地, 神龛"
shrink,[ʃrɪŋk],"v.收缩, (使)皱缩.n.收缩"
shrinkage,[ˈʃrɪŋkɪdʒ],"n.收缩,减低"
shroud,[ʃraʊd],"n.裹尸布, 寿衣.vt.用裹尸布裹, 遮蔽"
shrub,[ʃrʌb],"n.灌木, 灌木丛"
shrubby,[ˈʃrʌbi],a.灌木的
shudder,[ˈʃʌdər],"n.震动.vi.战栗, 发抖"
shun,[ʃʌn],"vt.避开,避免"
shut,[ʃʌt],"v.关上, 关闭"
shutter,[ˈʃʌtər],"n.百叶窗,(照相机的)快门"
shuttle,[ˈʃʌtl],"n.航天飞机,梭子.v.穿梭来回(运送)"
shy,[ʃaɪ],"a.怕羞的, 畏缩的"
shyness,[ˈʃaɪnəs],"n.羞怯, 胆怯"
sibling,[ˈsɪblɪŋ],n.兄弟姐妹
sick,[sɪk],"a.有病的,恶心的"
sickness,[ˈsɪknəs],"n.疾病, 呕吐"
sideline,[ˈsaɪdlaɪn],"n.副业, 边界线"
sidewalk,[ˈsaɪdwɔːk],n.人行道
sideways,[ˈsaɪdweɪz],"a./ad.旁的, 横向的"
sierra,[siˈerə],"n.[地]齿状山脊, [鱼]马鲛"
sieve,[sɪv],"n 筛,滤网.v.筛, 过滤"
sift,[sɪft],"v.详审,筛"
sight,[saɪt],".vt.看见.n.视力, 视域,[pl.]名胜"
sign,[saɪn],"n.标记,符号.v.做标记 签(署)"
signal,[ˈsɪɡnəl],"n.信号,标志.v.发信号,标志着"
signaler,,n.信号员
signature,[ˈsɪɡnətʃər],n.签名
signer,,"n.签名人, (用手势) 示意者"
significance,[sɪɡˈnɪfɪkəns],"n.意义,重要性,意思"
significant,[sɪɡˈnɪfɪkənt],"a.重要的,意义重大的,有效的"
signify,[ˈsɪɡnɪfaɪ],"v.颇为重要, 意味"
silence,[ˈsaɪləns],"n.寂静, 沉默.vt.使沉默"
silent,[ˈsaɪlənt],"a.寂静的, 沉默的"
silhouette,[ˌsɪluˈet],"n.侧面影象,轮廓.v.使…照出影子来"
silica,[ˈsɪlɪkə],n.[化]硅石
silicate,"[ˈsɪlɪkeɪt,ˈsɪlɪkət]",n.硅酸盐
siliceous,[sɪ'lɪʃəs],"a.硅酸的,硅土的"
silicon,[ˈsɪlɪkən],n.[化]硅
silk,[sɪlk],"n.丝绸,蚕丝"
sill,[sɪl],n.基石(岩床底面)
silly,[ˈsɪli],"a.愚蠢的, 可笑的"
silt,[sɪlt],n.淤泥.v.(使)淤塞
silurian,[sai'ljuəriən; si-],a.〈地〉志留纪的
silver,[ˈsɪlvər],n.银.vt.镀银
silversmith,[ˈsɪlvərsmɪθ],n.银器匠
silvery,[ˈsɪlvəri],"a.含银的,银色光泽的"
similar,[ˈsɪmələr],"a.相似的,类似的"
simple,[ˈsɪmpl],"a.简单的,朴素的"
simplicity,[sɪmˈplɪsəti],"n.简单, 朴素"
simplification,[ˌsɪmplɪfɪˈkeɪʃn],n.简化
simplify,[ˈsɪmplɪfaɪ],"vt.单一化,简单化"
simplistic,[sɪmˈplɪstɪk],a.过分简单化的
simply,[ˈsɪmpli],"ad.简单地,朴素地,简直"
simulate,[ˈsɪmjuleɪt],"vt.模拟, 模仿"
simulation,[ˌsɪmjuˈleɪʃn],"n.仿真, 假装"
simultaneous,[ˌsaɪmlˈteɪniəs],"a.同时发生的,同步的"
simultaneously,[ˌsaɪmlˈteɪniəsli],ad.同时地
since,[sɪns],"conj./prep.从…以后,因为"
sincerity,[sɪnˈserəti],"n.诚挚, 真实"
sing,[sɪŋ],"v.唱,演唱"
singer,[ˈsɪŋər],n.歌手
single,[ˈsɪŋɡl],"a.单一的,单个的,独身的,单程的"
single-celled,,a.单细胞的
singleton,[ˈsɪŋɡltən],"n.一个, 独身"
singly,[ˈsɪŋɡli],"ad.单独地, 个别地"
singular,[ˈsɪŋɡjələr],n.单数 .a.单一的
sink,[sɪŋk],v.下沉.n.水槽
sinkhole,[ˈsɪŋkhoʊl],n.污水池
sinuous,[ˈsɪnjuəs],a.蜿蜒的
sister,[ˈsɪstər],"n.姐妹
"
sit,[sɪt],"vi.坐.vt.使坐,使就座"
site,[saɪt],"n.位置,地点.vt.使位于,设置"
situate,[ˈsɪtʃueɪt],"v.位于,坐落在"
situation,[ˌsɪtʃuˈeɪʃn],"n.情形,境遇,位置"
six,[sɪks],"num.六,六个"
sixteen,[ˌsɪksˈtiːn],num.  十六
sixteenth,[ˌsɪksˈtiːnθ],"num.第十六,十六分之一"
sixth,[sɪksθ],"num.  第六, 六分之一"
sizable,['saɪzəbl],a.相当大的
size,[saɪz],"n.大小,尺寸.v.按大小排列(或分类)"
skate,[skeɪt],n.冰鞋.vi.溜冰
skeletal,[ˈskelətl],"a.骨骼的, 梗概的"
skeletal,[ˈskelətl],"a.骨骼的, 梗概的"
skeleton,[ˈskelɪtn],"n.骨架,纲要,骨骼"
skeptical,[ˈskeptɪkl],a.怀疑的
skepticism,[ˈskeptɪsɪzəm],n.怀疑论
sketch,[sketʃ],"n.略图.v.素描,概述"
ski,[skiː],n.滑雪板.vi.滑雪
skill,[skɪl],"n.技能,技巧,本领,技术"
skillful,[ˈskɪlfl],"a.熟练的, 灵巧的"
skillfully,['skɪlfəli],"ad.巧妙地,技术好地"
skin,[skɪn],n.皮肤.vt.剥皮
skirt,[skɝt],n.裙子 
skull,[skʌl],"n.头脑,头骨"
sky,[skaɪ],"n.天,天空"
skylight,[ˈskaɪlaɪt],n.天窗
skyrocket,[ˈskaɪrɑːkɪt],n.冲天火箭（烟火）.v.陡升
skyscraper,[ˈskaɪskreɪpər],n.摩天楼
slab,[slæb],"n.厚板,平板"
slam,[slæm],v.砰地关上(放下)
slander,[ˈslændər],vt./n.诽谤
slapdash,[ˈslæpdæʃ],"a.匆促的,草率的"
slapstick,[ˈslæpstɪk],"n.闹剧, 趣剧"
slat,[slæt],n.板条v.打击
slate,[sleɪt],"n.板岩,石板"
slave,[sleɪv],n.奴隶 
slavery,[ˈsleɪvəri],"n.奴隶身分, 奴隶制度"
slavish,[ˈsleɪvɪʃ],"a.奴隶的, 盲从的, 专横的"
slay,[sleɪ],"v.杀死,宰杀"
sled,[sled],n.(小)雪撬
sleek,[sliːk],"a.圆滑的,使…光滑"
sleep,[sliːp],"vi./n.睡,睡觉"
sleeper,[ˈsliːpər],"n.睡眠,枕木,卧铺"
sleepiness,[ˈsliːpinəs],"n.想睡,瞌睡"
sleepy,[ˈsliːpi],"a.困乏的,欲睡的"
slender,[ˈslendər],"a.苗条的, 微薄的"
slice,[slaɪs],n.薄片.v.切(片)
slick,[slɪk],"a.圆滑的,精巧的"
slide,[slaɪd],"v./n.滑动,下滑"
slider,[ˈslaɪdər],"n.滑雪者, 滑冰者"
slight,[slaɪt],"a.轻微的,微小的"
slime,[slaɪm],"n.粘土, 粘液"
slimy,[ˈslaɪmi],"a.黏滑的, 卑劣的"
slip,[slɪp],"vi.滑(倒),溜走.vt.悄悄放进.n.疏漏"
slipper,[ˈslɪpər],n.拖鞋
slippery,[ˈslɪpəri],"a.滑的,光滑的,靠不住的"
slit,[slɪt],"vt.撕裂.n.裂缝, 狭长切口"
slop,[slɑːp],"v.溢出, 溅溢"
slope,[sloʊp],n.斜坡.v.(使)顺斜
slot,[slɑːt],"n.狭缝,空位,投币口"
sloth,[sloʊθ],"n.懒惰,树懒(一种动物)"
slothful,[ˈsloʊθfl],"a.偷懒的,迟钝的"
slow,[sloʊ],"a.慢的.v.放慢,减速"
slowly,[ˈsloʊli],"ad.慢慢地,迟缓地"
slowness,[ˈsloʊnəs],"n.缓慢, 迟钝"
sludge,[slʌdʒ],"n.软泥, 淤泥"
sluggishly,,"a.缓慢的, 懒惰的"
slum,[slʌm],n.贫民窟 
slumber,[ˈslʌmbər],n.睡眠.v.睡眠
slush,[slʌʃ],"n.烂泥 
v.溅湿"
small,[smɔːl],"a.小的,少的"
small-scale,[ˌsmɔːl ˈskeɪl],"a.小比例的,小规模的"
smear,[smɪr],"v.涂污,弄脏.n.油迹, 涂片"
smell,[smel],"n.气味v.嗅, 闻到"
smelt,[smelt],"v.熔解,熔炼,闻,动词smell的过去式和过去分词"
smelter,[ˈsmeltər],"n.熔炉, 熔炼工"
smile,[smaɪl],vi./n.微笑 
smite,[smaɪt],v.重击
smoke,[smoʊk],".v.抽烟, 吸烟"
smoky,[ˈsmoʊki],"a.冒烟的, 烟状的,呛人的"
smooth,[smuːð],"a.光滑的,平整的.vt.弄平"
smoothly,[ˈsmuːðli],"ad.平稳地,顺利地"
smoothness,[ˈsmuːðnəs],"n.平坦, 光滑"
smother,[ˈsmʌðər],"v.窒息,厚盖,掩饰"
smuggle,[ˈsmʌɡl],"v.走私, 偷带 "
snail,[sneɪl],n.蜗牛
snake,[sneɪk],"n.蛇.v.蜿蜒,弯弯曲曲行进"
snap,[snæp],"v.喀嚓折断,拍快照.n.吧嗒声"
sneeze,[sniːz],"n.喷嚏 
vi.打喷嚏"
snipe,[snaɪp],n.[鸟]鹬
snippet,[ˈsnɪpɪt],"n.小片, 片断"
snout,[snaʊt],"n.猪嘴,鼻子"
snow,[snoʊ],"n.雪.vi.下雪vt.使纷纷落下,使变白"
snowdrift,[ˈsnoʊdrɪft],n.雪堆
snowfall,[ˈsnoʊfɔːl],"n.降雪,降雪量"
snowflake,[ˈsnoʊfleɪk],n.雪花
snowstorm,[ˈsnoʊstɔːrm],n.暴风雪
snowy,[ˈsnoʊi],"a.雪的, 多雪的"
snugly,[ˈsnʌɡli],"ad.舒适温暖地, 整洁地"
so,[soʊ],"ad.那么,如此.conj.所以,因此"
soak,[soʊk],"n./v.浸泡, 渗透"
soap,[soʊp],n.肥皂
soar,[sɔːr],"vi.高飞,昂扬.n.高涨程度"
sobriquet,[ˈsoʊbrɪkeɪ],"n.假名, 绰号"
